"";"number_of_input_reads";"average_input_read_length";"uniquely_mapped_reads_number";"uniquely_mapped_reads_percent";"average_mapped_length";"number_of_splices_total";"number_of_splices_annotated_sjdb";"number_of_splices_gt_ag";"number_of_splices_gc_ag";"number_of_splices_at_ac";"number_of_splices_non_canonical";"mismatch_rate_per_base_percent";"deletion_rate_per_base";"deletion_average_length";"insertion_rate_per_base";"insertion_average_length";"number_of_reads_mapped_to_multiple_loci";"percent_of_reads_mapped_to_multiple_loci";"number_of_reads_mapped_to_too_many_loci";"percent_of_reads_mapped_to_too_many_loci";"number_of_reads_unmapped_too_many_mismatches";"percent_of_reads_unmapped_too_many_mismatches";"number_of_reads_unmapped_too_short";"percent_of_reads_unmapped_too_short";"number_of_reads_unmapped_other";"percent_of_reads_unmapped_other";"muestras";"Especie";"temp";"Cultivar";"Project";"Esp_prj"
"207";3906448;50;2992477;76,6;49,42;361286;361282;354406;5765;243;872;0,81;0,03;1,83;0,02;1,58;766651;19,63;2306;0,06;0;0;144021;3,69;993;0,03;"SRR11711680";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"208";3898572;50;2984184;76,55;49,42;359038;359034;352181;5767;227;863;0,81;0,03;1,83;0,02;1,58;766084;19,65;2307;0,06;0;0;144797;3,71;1200;0,03;"SRR11711681";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"209";3892984;50;2980104;76,55;49,42;357963;357961;351100;5802;231;830;0,82;0,03;1,84;0,02;1,58;764435;19,64;2275;0,06;0;0;145070;3,73;1100;0,03;"SRR11711682";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"210";3910726;50;2994289;76,57;49,42;361385;361377;354431;5804;258;892;0,81;0,03;1,82;0,02;1,59;768090;19,64;2266;0,06;0;0;145056;3,71;1025;0,03;"SRR11711683";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"211";3831839;50;1634085;42,64;49,51;197738;197737;194074;2777;215;672;0,74;0,02;1,81;0,02;1,58;2128155;55,54;1071;0,03;0;0;67867;1,77;661;0,02;"SRR11711684";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"212";3912464;50;2995187;76,56;49,42;361004;361003;354043;5857;250;854;0,81;0,03;1,83;0,02;1,6;769521;19,67;2237;0,06;0;0;144231;3,69;1288;0,03;"SRR11711685";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"213";28013;50;21579;77,03;49,4;2602;2602;2546;42;2;12;0,85;0,02;1,74;0,02;1,59;5343;19,07;9;0,03;0;0;1075;3,84;7;0,02;"SRR11711686";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"214";3879317;50;2975264;76,7;49,42;357512;357506;350490;5839;255;928;0,81;0,03;1,85;0,02;1,58;757166;19,52;1924;0,05;0;0;143926;3,71;1037;0,03;"SRR11711687";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"215";3901918;50;2991248;76,66;49,43;359299;359298;352394;5660;261;984;0,8;0,03;1,84;0,02;1,59;764130;19,58;1849;0,05;0;0;143501;3,68;1190;0,03;"SRR11711688";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"216";3893662;50;2985499;76,68;49,43;359270;359264;352357;5764;241;908;0,81;0,03;1,86;0,02;1,59;761192;19,55;1862;0,05;0;0;144109;3,7;1000;0,03;"SRR11711689";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"217";3885754;50;2978039;76,64;49,42;357883;357879;350940;5837;228;878;0,82;0,03;1,85;0,02;1,59;759619;19,55;1951;0,05;0;0;145307;3,74;838;0,02;"SRR11711690";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"218";3886130;50;2979636;76,67;49,42;358223;358219;351141;5838;265;979;0,82;0,03;1,85;0,02;1,57;758290;19,51;1951;0,05;0;0;145241;3,74;1012;0,03;"SRR11711691";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"219";3903641;50;2992456;76,66;49,43;360184;360177;353135;5855;250;944;0,81;0,03;1,86;0,02;1,58;763520;19,56;2040;0,05;0;0;144557;3,7;1068;0,03;"SRR11711692";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"220";3906045;50;2995711;76,69;49,43;360171;360165;353227;5792;250;902;0,8;0,03;1,86;0,02;1,58;763481;19,55;1990;0,05;0;0;144045;3,69;818;0,02;"SRR11711693";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"221";3827895;50;1633252;42,67;49,5;197393;197391;193605;2866;193;729;0,74;0,02;1,79;0,02;1,57;2125426;55,52;1073;0,03;0;0;67499;1,76;645;0,02;"SRR11711695";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"222";3827361;50;1636707;42,76;49,5;197513;197511;193769;2842;197;705;0,74;0,02;1,83;0,02;1,57;2120828;55,41;1654;0,04;0;0;67443;1,76;729;0,02;"SRR11711706";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"223";3836664;50;1641096;42,77;49,51;198778;198775;195019;2843;171;745;0,73;0,02;1,8;0,02;1,58;2126478;55,43;1031;0,03;0;0;67145;1,75;914;0,02;"SRR11711717";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"224";573985;49;399273;69,56;49,47;51626;51623;50695;722;38;171;0,79;0,02;1,79;0,02;1,58;158850;27,67;261;0,05;0;0;15491;2,7;110;0,02;"SRR11711728";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"225";3883936;49;2702489;69,58;49,48;348527;348508;342197;4918;328;1084;0,76;0,02;1,79;0,02;1,57;1077230;27,74;1878;0,05;0;0;101561;2,61;778;0,02;"SRR11711739";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"226";3866558;49;2691910;69,62;49,47;348970;348965;342417;5083;318;1152;0,78;0,02;1,8;0,02;1,58;1069399;27,66;1872;0,05;0;0;102245;2,64;1132;0,03;"SRR11711760";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"227";3876783;49;2697595;69,58;49,47;347799;347791;341751;4620;292;1136;0,77;0,02;1,8;0,02;1,57;1074046;27,7;1940;0,05;0;0;101909;2,63;1293;0,03;"SRR11711771";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"228";668013;49;526730;78,85;49,45;67152;67152;65954;930;57;211;0,8;0,03;1,8;0,03;1,57;119403;17,87;327;0,05;0;0;21422;3,21;131;0,02;"SRR11711782";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"229";3883540;49;3062339;78,85;49,46;390873;390867;383443;5698;326;1406;0,78;0,03;1,82;0,03;1,59;697266;17,95;1889;0,05;0;0;120714;3,11;1332;0,03;"SRR11711793";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"230";3860218;49;3041048;78,78;49,46;387225;387217;379924;5500;354;1447;0,79;0,03;1,8;0,02;1,58;694187;17,98;2020;0,05;0;0;121842;3,16;1121;0,03;"SRR11711804";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"231";2953783;49;2299683;77,86;49,43;278572;278570;273901;3943;227;501;0,81;0,03;1,82;0,02;1,59;542983;18,38;3009;0,1;0;0;106965;3,62;1143;0,04;"SRR11711805";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"232";3859514;49;3004818;77,85;49,43;363768;363762;357686;5127;291;664;0,8;0,03;1,82;0,02;1,6;710080;18,4;3788;0,1;0;0;139342;3,61;1486;0,04;"SRR11711806";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"233";3869015;49;3014076;77,9;49,43;364695;364688;358517;5189;302;687;0,8;0,03;1,82;0,02;1,59;711864;18,4;3861;0,1;0;0;137739;3,56;1475;0,04;"SRR11711807";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"234";3864274;49;3009975;77,89;49,43;365056;365053;359028;5079;280;669;0,8;0,03;1,82;0,02;1,59;710459;18,39;3851;0,1;0;0;138540;3,59;1449;0,04;"SRR11711808";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"235";3840975;49;2988969;77,82;49,43;361095;361092;355127;5039;229;700;0,82;0,03;1,81;0,02;1,6;707133;18,41;3832;0,1;0;0;139670;3,64;1371;0,04;"SRR11711809";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"236";3845466;49;2994016;77,86;49,43;363345;363341;357087;5305;268;685;0,81;0,03;1,82;0,02;1,59;707025;18,39;3690;0,1;0;0;139185;3,62;1550;0,04;"SRR11711810";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"237";3854479;49;3000379;77,84;49,43;363947;363941;357864;5133;279;671;0,81;0,03;1,8;0,02;1,6;709361;18,4;3763;0,1;0;0;139622;3,62;1354;0,04;"SRR11711811";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"238";3870418;49;3013988;77,87;49,43;365788;365781;359538;5272;279;699;0,8;0,03;1,81;0,02;1,6;712911;18,42;3879;0,1;0;0;138222;3,57;1418;0,04;"SRR11711812";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"239";853171;49;667108;78,19;49,42;79899;79899;78673;1035;56;135;0,83;0,03;1,8;0,02;1,59;153347;17,97;879;0,1;0;0;31537;3,7;300;0,04;"SRR11711813";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"240";3872558;49;3028102;78,19;49,43;363934;363925;357833;5167;288;646;0,8;0,03;1,82;0,02;1,6;700196;18,08;3895;0,1;0;0;138960;3,59;1405;0,04;"SRR11711814";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"241";3862011;49;3043593;78,81;49,46;388262;388259;380830;5653;342;1437;0,79;0,03;1,8;0,02;1,58;693843;17,97;2062;0,05;0;0;121343;3,14;1170;0,03;"SRR11711815";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"242";3851927;49;3013842;78,24;49,42;362258;362251;356180;5176;277;625;0,81;0,03;1,79;0,02;1,6;694153;18,02;3966;0,1;0;0;138596;3,6;1370;0,04;"SRR11711816";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"243";3881882;49;3037694;78,25;49,43;365302;365299;359327;5058;279;638;0,8;0,03;1,8;0,02;1,6;700257;18,04;3896;0,1;0;0;138635;3,57;1400;0,04;"SRR11711817";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"244";3855832;49;3016212;78,22;49,42;362227;362226;356428;4906;223;670;0,81;0,03;1,81;0,02;1,6;694527;18,01;3889;0,1;0;0;139766;3,62;1438;0,04;"SRR11711818";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"245";3850192;49;3010980;78,2;49,42;361358;361353;355376;5114;249;619;0,82;0,03;1,8;0,02;1,61;693946;18,02;3896;0,1;0;0;139979;3,64;1391;0,04;"SRR11711819";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"246";3878338;49;3033655;78,22;49,42;364025;364017;358058;5021;246;700;0,81;0,03;1,81;0,02;1,61;699690;18,04;4078;0,11;0;0;139461;3,6;1454;0,04;"SRR11711820";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"247";3840423;49;3000127;78,12;49,42;359730;359728;353667;5121;268;674;0,82;0,03;1,81;0,02;1,6;694520;18,08;3952;0,1;0;0;140373;3,66;1451;0,04;"SRR11711821";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"248";3850239;49;3010086;78,18;49,42;361747;361741;355753;5103;214;677;0,82;0,03;1,81;0,02;1,6;695621;18,07;3841;0,1;0;0;139297;3,62;1394;0,04;"SRR11711822";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"249";3886716;49;3042391;78,28;49,43;366098;366096;359915;5312;255;616;0,8;0,03;1,8;0,02;1,6;700280;18,02;3889;0,1;0;0;138692;3,57;1464;0,04;"SRR11711823";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"250";3218118;49;2415713;75,07;49,37;268302;268299;263472;4079;199;552;0,84;0,03;1,81;0,03;1,6;672603;20,9;2318;0,07;0;0;126466;3,93;1018;0,03;"SRR11711824";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"251";3871042;49;2907890;75,12;49,38;323512;323507;317640;4991;232;649;0,83;0,03;1,81;0,03;1,6;808172;20,88;2900;0,07;0;0;150872;3,9;1208;0,03;"SRR11711825";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"252";3858881;49;3039615;78,77;49,45;388417;388412;380975;5674;349;1419;0,79;0,03;1,8;0,03;1,58;694255;17,99;1962;0,05;0;0;121841;3,16;1208;0,03;"SRR11711826";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"253";3882411;49;2917137;75,14;49,38;324148;324144;318397;4881;229;641;0,82;0,03;1,82;0,03;1,6;809912;20,86;2774;0,07;0;0;151377;3,9;1211;0,03;"SRR11711827";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"254";3850418;49;2890526;75,07;49,37;320740;320735;314906;4966;236;632;0,84;0,03;1,82;0,03;1,6;803816;20,88;2913;0,08;0;0;151912;3,95;1251;0,03;"SRR11711828";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"255";3863746;49;2901381;75,09;49,38;321672;321667;316446;4323;254;649;0,83;0,03;1,81;0,03;1,6;806446;20,87;2845;0,07;0;0;151840;3,93;1234;0,03;"SRR11711833";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"256";3880459;49;2913401;75,08;49,38;322922;322921;317033;5020;223;646;0,83;0,03;1,82;0,03;1,62;810866;20,9;2805;0,07;0;0;152189;3,92;1198;0,03;"SRR11711844";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"257";3839996;49;2882772;75,07;49,37;320579;320575;314841;4860;212;666;0,85;0,03;1,82;0,03;1,61;800696;20,85;2661;0,07;0;0;152668;3,98;1199;0,03;"SRR11711855";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"258";3856893;49;2896783;75,11;49,37;322698;322693;316793;4941;265;699;0,84;0,03;1,81;0,03;1,6;802990;20,82;2752;0,07;0;0;153097;3,97;1271;0,03;"SRR11711866";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"259";3885149;49;2920083;75,16;49,38;323970;323964;318066;4964;272;668;0,83;0,03;1,81;0,03;1,6;809785;20,84;2777;0,07;0;0;151308;3,89;1196;0,03;"SRR11711877";"C.eugenioides";"42_30_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"260";3625754;49;1549536;42,74;49,5;187900;187895;184414;2645;197;644;0,73;0,02;1,82;0,02;1,59;2009272;55,42;2532;0,07;0;0;63757;1,76;657;0,02;"SRR11711888";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"261";3828244;50;1635480;42,72;49,5;197736;197736;194032;2803;190;711;0,73;0,02;1,8;0,02;1,57;2123935;55,48;1028;0,03;0;0;67078;1,75;723;0,02;"SRR11711899";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"262";2311932;50;1771341;76,62;49,41;213054;213047;208878;3482;149;545;0,83;0,03;1,85;0,02;1,57;449290;19,43;1346;0,06;0;0;89241;3,86;714;0,03;"SRR11711907";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"263";3896818;50;2984484;76,59;49,42;359665;359662;352509;5952;294;910;0,81;0,03;1,86;0,02;1,59;761545;19,54;2369;0,06;0;0;147110;3,78;1310;0,03;"SRR11711908";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"264";3896511;50;2983992;76,58;49,42;359750;359741;352553;5955;303;939;0,81;0,03;1,85;0,02;1,58;761269;19,54;2441;0,06;0;0;147648;3,79;1161;0,03;"SRR11711909";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"265";3828635;50;1637582;42,77;49,51;197462;197460;193687;2859;200;716;0,73;0,02;1,8;0,02;1,57;2122010;55,42;1131;0,03;0;0;67349;1,76;563;0,01;"SRR11711910";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"266";3858297;49;3040010;78,79;49,45;388815;388810;381386;5631;329;1469;0,79;0,03;1,8;0,02;1,58;693465;17,97;2042;0,05;0;0;121824;3,16;956;0,02;"SRR11711911";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"267";3888240;50;2974715;76,51;49,42;358558;358553;351604;5853;240;861;0,82;0,03;1,85;0,02;1,59;761896;19,59;2341;0,06;0;0;148158;3,81;1130;0,03;"SRR11711912";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"268";3879078;50;2970124;76,57;49,41;357048;357044;350059;5881;261;847;0,83;0,03;1,86;0,02;1,58;756088;19,49;2435;0,06;0;0;149150;3,84;1281;0,03;"SRR11711913";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"269";3894414;49;2987406;76,71;49,41;360081;360076;352938;5969;296;878;0,82;0,03;1,83;0,02;1,58;760430;19,53;2296;0,06;0;0;143250;3,68;1032;0,03;"SRR11711914";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"270";3901117;50;2987633;76,58;49,42;359907;359902;352958;5784;239;926;0,81;0,03;1,86;0,02;1,58;761289;19,51;2304;0,06;0;0;148441;3,81;1450;0,04;"SRR11711915";"C.eugenioides";"37_28_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"271";3861403;49;2685694;69,55;49,47;346264;346257;339797;4978;291;1198;0,77;0,02;1,8;0,02;1,58;1070849;27,73;1788;0,05;0;0;102194;2,65;878;0,02;"SRR11711916";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"272";3862891;49;2689107;69,61;49,47;347119;347116;340846;4841;327;1105;0,77;0,02;1,8;0,02;1,57;1068162;27,65;2137;0,06;0;0;102424;2,65;1061;0,03;"SRR11711927";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"273";3863050;49;2684685;69,5;49,47;346778;346774;340634;4742;307;1095;0,78;0,02;1,79;0,02;1,57;1072544;27,76;1861;0,05;0;0;103076;2,67;884;0,02;"SRR11711938";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"274";3863595;49;2686348;69,53;49,47;347068;347061;340713;4935;288;1132;0,78;0,02;1,79;0,02;1,57;1071597;27,74;1899;0,05;0;0;102760;2,66;991;0,03;"SRR11711949";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"275";3863806;49;3044363;78,79;49,45;389340;389335;381967;5546;318;1509;0,79;0,03;1,8;0,02;1,57;694250;17,97;1916;0,05;0;0;122070;3,16;1207;0,03;"SRR11711950";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
"276";3872279;49;3052563;78,83;49,45;390478;390472;383306;5360;342;1470;0,79;0,03;1,81;0,02;1,57;695155;17,95;1990;0,05;0;0;121653;3,14;918;0,02;"SRR11711951";"C.eugenioides";"25_20_C";"Icatu";"PRJNA630692";"C.eugenioides_PRJNA630692"
